gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-2.128296412088825514e-05,3.543206383579849440e-03,2.214044258332566791e-03
-2.130100053040792331e-05,3.543206375355609141e-03,2.214044271494082939e-03
-2.131903693992941769e-05,3.543206367124399590e-03,2.214044284666753359e-03
-2.133707334945238591e-05,3.543206358886219921e-03,2.214044297850577183e-03
-2.135510975897648577e-05,3.543206350641070566e-03,2.214044311045554846e-03
-2.137314616850142588e-05,3.543206342388950658e-03,2.214044324251686346e-03
-2.139118257802693519e-05,3.543206334129862366e-03,2.214044337468972119e-03
-2.140921898755276638e-05,3.543206325863804389e-03,2.214044350697410863e-03
-2.142725539707871616e-05,3.543206317590775426e-03,2.214044363937003879e-03
-2.144529180660457784e-05,3.543206309310777645e-03,2.214044377187750733e-03
-2.146332821613018203e-05,3.543206301023809745e-03,2.214044390449651425e-03
-2.148136462565536608e-05,3.543206292729872593e-03,2.214044403722705955e-03
-2.149940103517999110e-05,3.543206284428965323e-03,2.214044417006914324e-03
-2.151743744470392832e-05,3.543206276121088367e-03,2.214044430302276097e-03
-2.153547385422705239e-05,3.543206267806241292e-03,2.214044443608792143e-03
-2.155351026374927183e-05,3.543206259484424532e-03,2.214044456926460725e-03
-2.157154667327048161e-05,3.543206251155638954e-03,2.214044470255284447e-03
-2.158958308279060041e-05,3.543206242819882824e-03,2.214044483595261573e-03
-2.160761949230956047e-05,3.543206234477156574e-03,2.214044496946392538e-03
-2.162565590182727708e-05,3.543206226127461073e-03,2.214044510308677341e-03
-2.164369231134369943e-05,3.543206217770796321e-03,2.214044523682116416e-03
-2.166172872085876991e-05,3.543206209407161016e-03,2.214044537066708028e-03
-2.167976513037242755e-05,3.543206201036556025e-03,2.214044550462454346e-03
-2.169780153988463845e-05,3.543206192658982217e-03,2.214044563869354502e-03
-2.171583794939535179e-05,3.543206184274437422e-03,2.214044577287407629e-03
-2.173387435890454048e-05,3.543206175882923376e-03,2.214044590716615461e-03
-2.175191076841216385e-05,3.543206167484440079e-03,2.214044604156976698e-03
-2.176994717791818802e-05,3.543206159078986228e-03,2.214044617608491774e-03
-2.178798358742258927e-05,3.543206150666562693e-03,2.214044631071161121e-03
-2.180601999692534729e-05,3.543206142247171207e-03,2.214044644544983873e-03
-2.182405640642643156e-05,3.543206133820807867e-03,2.214044658029959596e-03
-2.184209281592582177e-05,3.543206125387475276e-03,2.214044671526090458e-03
-2.186012922542350436e-05,3.543206116947172999e-03,2.214044685033374725e-03
-2.187816563491946578e-05,3.543206108499901037e-03,2.214044698551811963e-03
-2.189620204441367554e-05,3.543206100045659824e-03,2.214044712081403039e-03
-2.191423845390613702e-05,3.543206091584448492e-03,2.214044725622149254e-03
-2.193227486339682311e-05,3.543206083116266607e-03,2.214044739174048440e-03
-2.195031127288573044e-05,3.543206074641115904e-03,2.214044752737101465e-03
-2.196834768237284206e-05,3.543206066158995082e-03,2.214044766311307894e-03
-2.198638409185816136e-05,3.543206057669904575e-03,2.214044779896669028e-03
-2.200442050134166462e-05,3.543206049173844383e-03,2.214044793493183134e-03
-2.202245691082334845e-05,3.543206040670814072e-03,2.214044807100851945e-03
-2.204049332030320608e-05,3.543206032160815377e-03,2.214044820719673727e-03
-2.205852972978123073e-05,3.543206023643845261e-03,2.214044834349649347e-03
-2.207656613925741563e-05,3.543206015119906328e-03,2.214044847990779240e-03
-2.209460254873175399e-05,3.543206006588997276e-03,2.214044861643062103e-03
-2.211263895820424582e-05,3.543205998051118973e-03,2.214044875306499672e-03
-2.213067536767488095e-05,3.543205989506270550e-03,2.214044888981090212e-03
-2.214871177714365262e-05,3.543205980954452442e-03,2.214044902666835023e-03
-2.216674818661056419e-05,3.543205972395664649e-03,2.214044916363733673e-03
-2.218478459607560213e-05,3.543205963829906737e-03,2.214044930071786162e-03
-2.220282100553876644e-05,3.543205955257179574e-03,2.214044943790992488e-03
-2.222085741500005711e-05,3.543205946677481857e-03,2.214044957521352219e-03
-2.223889382445946397e-05,3.543205938090815323e-03,2.214044971262866222e-03
-2.225693023391699042e-05,3.543205929497178670e-03,2.214044985015533196e-03
-2.227496664337262969e-05,3.543205920896571898e-03,2.214044998779354442e-03
-2.229300305282638515e-05,3.543205912288996309e-03,2.214045012554329526e-03
-2.231103946227823987e-05,3.543205903674450166e-03,2.214045026340458883e-03
-2.232907587172820401e-05,3.543205895052934339e-03,2.214045040137741210e-03
-2.234711228117627080e-05,3.543205886424448392e-03,2.214045053946177809e-03
-2.236514869062243685e-05,3.543205877788994061e-03,2.214045067765768246e-03
-2.238318510006669876e-05,3.543205869146568744e-03,2.214045081596512088e-03
-2.240122150950906333e-05,3.543205860497173742e-03,2.214045095438410202e-03
-2.241925791894951360e-05,3.543205851840809922e-03,2.214045109291461720e-03
-2.243729432838806312e-05,3.543205843177475983e-03,2.214045123155667077e-03
-2.245533073782469835e-05,3.543205834507171925e-03,2.214045137031026272e-03
-2.247336714725942268e-05,3.543205825829898181e-03,2.214045150917538871e-03
-2.249140355669222932e-05,3.543205817145654319e-03,2.214045164815206176e-03
-2.250943996612311828e-05,3.543205808454440772e-03,2.214045178724026453e-03
-2.252747637555208956e-05,3.543205799756258406e-03,2.214045192644001001e-03
-2.254551278497914316e-05,3.543205791051105922e-03,2.214045206575128953e-03
-2.256354919440427229e-05,3.543205782338982451e-03,2.214045220517411178e-03
-2.258158560382747697e-05,3.543205773619891030e-03,2.214045234470847241e-03
-2.259962201324875380e-05,3.543205764893828623e-03,2.214045248435436708e-03
-2.261765842266810617e-05,3.543205756160797398e-03,2.214045262411180014e-03
-2.263569483208552731e-05,3.543205747420795620e-03,2.214045276398077158e-03
-2.265373124150101721e-05,3.543205738673824590e-03,2.214045290396128574e-03
-2.267176765091457927e-05,3.543205729919883442e-03,2.214045304405332527e-03
-2.268980406032619992e-05,3.543205721158972608e-03,2.214045318425691185e-03
-2.270784046973588934e-05,3.543205712391092523e-03,2.214045332457203249e-03
-2.272587687914364075e-05,3.543205703616241885e-03,2.214045346499869584e-03
-2.274391328854945415e-05,3.543205694834422430e-03,2.214045360553689758e-03
-2.276194969795332615e-05,3.543205686045632855e-03,2.214045374618662902e-03
-2.277998610735526013e-05,3.543205677249873162e-03,2.214045388694789885e-03
-2.279802251675523917e-05,3.543205668447143783e-03,2.214045402782071573e-03
-2.281605892615328019e-05,3.543205659637445153e-03,2.214045416880507100e-03
-2.283409533554936965e-05,3.543205650820775970e-03,2.214045430990096031e-03
-2.285213174494351093e-05,3.543205641997137535e-03,2.214045445110837933e-03
-2.287016815433570404e-05,3.543205633166529415e-03,2.214045459242734975e-03
-2.288820456372594558e-05,3.543205624328951611e-03,2.214045473385784987e-03
-2.290624097311423217e-05,3.543205615484403687e-03,2.214045487539988404e-03
-2.292427738250056381e-05,3.543205606632885644e-03,2.214045501705346093e-03
-2.294231379188493711e-05,3.543205597774398783e-03,2.214045515881858488e-03
-2.296035020126735207e-05,3.543205588908941803e-03,2.214045530069523419e-03
-2.297838661064780869e-05,3.543205580036515139e-03,2.214045544268342623e-03
-2.299642302002630358e-05,3.543205571157118355e-03,2.214045558478315232e-03
-2.301445942940283335e-05,3.543205562270751886e-03,2.214045572699442112e-03
-2.303249583877740140e-05,3.543205553377415731e-03,2.214045586931722830e-03
-2.305053224814999755e-05,3.543205544477109892e-03,2.214045601175156953e-03
-2.306856865752063198e-05,3.543205535569834801e-03,2.214045615429744915e-03
-2.308660506688929451e-05,3.543205526655589591e-03,2.214045629695486714e-03
-2.310464147625598515e-05,3.543205517734374262e-03,2.214045643972382786e-03
-2.312267788562070390e-05,3.543205508806189247e-03,2.214045658260431829e-03
-2.314071429498345075e-05,3.543205499871034982e-03,2.214045672559635577e-03
-2.315875070434421894e-05,3.543205490928910163e-03,2.214045686869992296e-03
-2.317678711370301184e-05,3.543205481979816093e-03,2.214045701191503287e-03
-2.319482352305982608e-05,3.543205473023752338e-03,2.214045715524168116e-03
-2.321285993241465825e-05,3.543205464060718898e-03,2.214045729867986350e-03
-2.323089634176751176e-05,3.543205455090715338e-03,2.214045744222958422e-03
-2.324893275111837644e-05,3.543205446113742527e-03,2.214045758589083899e-03
-2.326696916046726245e-05,3.543205437129799164e-03,2.214045772966364515e-03
-2.328500556981415623e-05,3.543205428138886549e-03,2.214045787354797235e-03
-2.330304197915906796e-05,3.543205419141004248e-03,2.214045801754385093e-03
-2.332107838850198747e-05,3.543205410136151829e-03,2.214045816165125923e-03
-2.333911479784291814e-05,3.543205401124330592e-03,2.214045830587021025e-03
-2.335715120718185320e-05,3.543205392105538368e-03,2.214045845020069531e-03
-2.337518761651879605e-05,3.543205383079776460e-03,2.214045859464272310e-03
-2.339322402585374328e-05,3.543205374047046167e-03,2.214045873919628492e-03
-2.341126043518669490e-05,3.543205365007344454e-03,2.214045888386138514e-03
-2.342929684451764414e-05,3.543205355960674791e-03,2.214045902863802373e-03
-2.344733325384659438e-05,3.543205346907033707e-03,2.214045917352620071e-03
-2.346536966317353884e-05,3.543205337846423372e-03,2.214045931852591173e-03
-2.348340607249848770e-05,3.543205328778843786e-03,2.214045946363716547e-03
-2.350144248182143078e-05,3.543205319704294080e-03,2.214045960885994892e-03
-2.351947889114236131e-05,3.543205310622774690e-03,2.214045975419428377e-03
-2.353751530046129285e-05,3.543205301534284313e-03,2.214045989964014832e-03
-2.355555170977820844e-05,3.543205292438825985e-03,2.214046004519755126e-03
-2.357358811909311487e-05,3.543205283336397539e-03,2.214046019086649258e-03
-2.359162452840600537e-05,3.543205274226998540e-03,2.214046033664697228e-03
-2.360966093771688670e-05,3.543205265110630289e-03,2.214046048253898169e-03
-2.362769734702575210e-05,3.543205255987292353e-03,2.214046062854254249e-03
-2.364573375633259816e-05,3.543205246856984732e-03,2.214046077465763301e-03
-2.366377016563742829e-05,3.543205237719706559e-03,2.214046092088426624e-03
-2.368180657494023910e-05,3.543205228575459134e-03,2.214046106722243352e-03
-2.369984298424102380e-05,3.543205219424242457e-03,2.214046121367213918e-03
-2.371787939353978578e-05,3.543205210266055661e-03,2.214046136023338322e-03
-2.373591580283651828e-05,3.543205201100899180e-03,2.214046150690616565e-03
-2.375395221213123483e-05,3.543205191928772580e-03,2.214046165369048646e-03
-2.377198862142391851e-05,3.543205182749676295e-03,2.214046180058634565e-03
-2.379002503071456592e-05,3.543205173563609891e-03,2.214046194759374322e-03
-2.380806144000319400e-05,3.543205164370574669e-03,2.214046209471267051e-03
-2.382609784928978582e-05,3.543205155170569328e-03,2.214046224194314051e-03
-2.384413425857434137e-05,3.543205145963594302e-03,2.214046238928515323e-03
-2.386217066785686065e-05,3.543205136749649157e-03,2.214046253673869567e-03
-2.388020707713734705e-05,3.543205127528734327e-03,2.214046268430378515e-03
-2.389824348641578702e-05,3.543205118300850245e-03,2.214046283198040435e-03
-2.391627989569219411e-05,3.543205109065995610e-03,2.214046297976856627e-03
-2.393431630496655816e-05,3.543205099824171291e-03,2.214046312766826657e-03
-2.395235271423887916e-05,3.543205090575377719e-03,2.214046327567950525e-03
-2.397038912350915035e-05,3.543205081319614029e-03,2.214046342380227798e-03
-2.398842553277737849e-05,3.543205072056881521e-03,2.214046357203658475e-03
-2.400646194204356020e-05,3.543205062787178027e-03,2.214046372038243424e-03
-2.402449835130768870e-05,3.543205053510504847e-03,2.214046386883982646e-03
-2.404253476056976738e-05,3.543205044226862416e-03,2.214046401740874838e-03
-2.406057116982979286e-05,3.543205034936250299e-03,2.214046416608921302e-03
