ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.200046874464467805e+01,1.199999999999999858e+02,-6.365420146735964918e-15,2.697999999999926235e+00,-1.652048532049734280e-16,3.304097064099468560e-16
3.200047116963987293e+01,1.199999999999999858e+02,-6.398350899165036646e-15,2.677999999999928438e+00,-1.639802064058262008e-16,3.279604128116524015e-16
3.200047357659865810e+01,1.199999999999999858e+02,-6.431036722234279965e-15,2.657999999999930640e+00,-1.627555596066789982e-16,3.255111192133579963e-16
3.200047596552103357e+01,1.199999999999999858e+02,-6.463477615943694873e-15,2.637999999999932843e+00,-1.615309128075317709e-16,3.230618256150635419e-16
3.200047833640699935e+01,1.199999999999999858e+02,-6.495673580293281371e-15,2.617999999999935046e+00,-1.603062660083845684e-16,3.206125320167691367e-16
3.200048068925655542e+01,1.199999999999999858e+02,-6.527624615283031571e-15,2.597999999999937248e+00,-1.590816192092373411e-16,3.181632384184746822e-16
3.200048302406970180e+01,1.199999999999999858e+02,-6.559330720912953361e-15,2.577999999999939451e+00,-1.578569724100901139e-16,3.157139448201802278e-16
3.200048534084643848e+01,1.199999999999999858e+02,-6.590791897183046740e-15,2.557999999999941654e+00,-1.566323256109429113e-16,3.132646512218858226e-16
3.200048763958676545e+01,1.199999999999999858e+02,-6.622008144093311710e-15,2.537999999999943856e+00,-1.554076788117956841e-16,3.108153576235913681e-16
3.200048992029068273e+01,1.199999999999999858e+02,-6.652979461643748269e-15,2.517999999999946059e+00,-1.541830320126484568e-16,3.083660640252969136e-16
3.200049218295819031e+01,1.199999999999999858e+02,-6.683705849834356418e-15,2.497999999999948262e+00,-1.529583852135012542e-16,3.059167704270025085e-16
3.200049442758928109e+01,1.199999999999999858e+02,-6.714187308665136157e-15,2.477999999999950465e+00,-1.517337384143540270e-16,3.034674768287080540e-16
3.200049665418396927e+01,1.199999999999999858e+02,-6.744423838136085120e-15,2.457999999999952667e+00,-1.505090916152067998e-16,3.010181832304135995e-16
3.200049886274224775e+01,1.199999999999999858e+02,-6.774415438247200150e-15,2.437999999999954870e+00,-1.492844448160595972e-16,2.985688896321191944e-16
3.200050105326411654e+01,1.199999999999999858e+02,-6.804162108998486771e-15,2.417999999999957073e+00,-1.480597980169123699e-16,2.961195960338247399e-16
3.200050322574957562e+01,1.199999999999999858e+02,-6.833663850389944981e-15,2.397999999999959275e+00,-1.468351512177651674e-16,2.936703024355303347e-16
3.200050538019861790e+01,1.199999999999999858e+02,-6.862920662421574781e-15,2.377999999999961478e+00,-1.456105044186179401e-16,2.912210088372358803e-16
3.200050751661125759e+01,1.199999999999999858e+02,-6.891932545093376172e-15,2.357999999999963681e+00,-1.443858576194707129e-16,2.887717152389414258e-16
