ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
-9.314953215590302286e-04,3.423411000753120992e-03,-5.997783063592733832e+00
-9.350797831376067484e-04,3.422452460378469161e-03,-5.997783052235981849e+00
-9.386632388809134850e-04,3.421490166942090048e-03,-5.997783040882331385e+00
-9.422456848594140547e-04,3.420524121499536000e-03,-5.997783029531803756e+00
-9.458271171446787189e-04,3.419554325110472394e-03,-5.997783018184419390e+00
-9.494075318093915397e-04,3.418580778838678936e-03,-5.997783006840195164e+00
-9.529869249273517900e-04,3.417603483752047061e-03,-5.997782995499154168e+00
-9.565652925734792651e-04,3.416622440922576030e-03,-5.997782984161309727e+00
-9.601426308238208973e-04,3.415637651426381600e-03,-5.997782972826682268e+00
-9.637189357555507553e-04,3.414649116343681286e-03,-5.997782961495287779e+00
-9.672942034469780674e-04,3.413656836758799992e-03,-5.997782950167143134e+00
-9.708684299775492818e-04,3.412660813760173047e-03,-5.997782938842263434e+00
-9.744416114278541376e-04,3.411661048440337539e-03,-5.997782927520665552e+00
-9.780137438796276169e-04,3.410657541895932739e-03,-5.997782916202362813e+00
-9.815848234157580759e-04,3.409650295227704010e-03,-5.997782904887372979e+00
-9.851548461202860527e-04,3.408639309540495432e-03,-5.997782893575707597e+00
-9.887238080784135907e-04,3.407624585943252408e-03,-5.997782882267385318e+00
-9.922917053765058660e-04,3.406606125549016019e-03,-5.997782870962417689e+00
-9.958585341020961736e-04,3.405583929474929970e-03,-5.997782859660818033e+00
-9.994242903438904820e-04,3.404557998842227574e-03,-5.997782848362603225e+00
-1.002988970191771769e-03,3.403528334776243468e-03,-5.997782837067786588e+00
-1.006552569736802625e-03,3.402494938406403196e-03,-5.997782825776378779e+00
-1.010115085071233059e-03,3.401457810866224951e-03,-5.997782814488396674e+00
-1.013676512288500930e-03,3.400416953293318272e-03,-5.997782803203851820e+00
-1.017236847483237805e-03,3.399372366829382739e-03,-5.997782791922757539e+00
-1.020796086751274380e-03,3.398324052620208847e-03,-5.997782780645128931e+00
-1.024354226189642860e-03,3.397272011815669762e-03,-5.997782769370975764e+00
-1.027911261896582605e-03,3.396216245569730861e-03,-5.997782758100314915e+00
-1.031467189971544025e-03,3.395156755040437593e-03,-5.997782746833156153e+00
-1.035022006515192708e-03,3.394093541389923713e-03,-5.997782735569513690e+00
-1.038575707629412880e-03,3.393026605784400448e-03,-5.997782724309400848e+00
-1.042128289417313921e-03,3.391955949394164730e-03,-5.997782713052830061e+00
-1.045679747983232306e-03,3.390881573393590958e-03,-5.997782701799812877e+00
-1.049230079432737252e-03,3.389803478961131000e-03,-5.997782690550364393e+00
-1.052779279872634397e-03,3.388721667279318093e-03,-5.997782679304495268e+00
-1.056327345410969926e-03,3.387636139534758173e-03,-5.997782668062219713e+00
-1.059874272157035552e-03,3.386546896918132474e-03,-5.997782656823549274e+00
-1.063420056221372860e-03,3.385453940624197963e-03,-5.997782645588495498e+00
-1.066964693715775686e-03,3.384357271851780834e-03,-5.997782634357072595e+00
-1.070508180753297059e-03,3.383256891803778244e-03,-5.997782623129292112e+00
-1.074050513448251802e-03,3.382152801687158747e-03,-5.997782611905166483e+00
-1.077591687916220871e-03,3.381045002712958387e-03,-5.997782600684710808e+00
-1.081131700274055689e-03,3.379933496096278103e-03,-5.997782589467933079e+00
-1.084670546639884001e-03,3.378818283056287623e-03,-5.997782578254850172e+00
-1.088208223133111611e-03,3.377699364816220268e-03,-5.997782567045470969e+00
-1.091744725874426933e-03,3.376576742603366009e-03,-5.997782555839808794e+00
-1.095280050985808799e-03,3.375450417649087081e-03,-5.997782544637876967e+00
-1.098814194590525374e-03,3.374320391188796297e-03,-5.997782533439687924e+00
-1.102347152813142181e-03,3.373186664461972229e-03,-5.997782522245253212e+00
-1.105878921779525565e-03,3.372049238712145763e-03,-5.997782511054585264e+00
-1.109409497616844651e-03,3.370908115186903569e-03,-5.997782499867695627e+00
-1.112938876453580883e-03,3.369763295137893303e-03,-5.997782488684600288e+00
-1.116467054419526071e-03,3.368614779820809733e-03,-5.997782477505306353e+00
-1.119994027645790412e-03,3.367462570495401673e-03,-5.997782466329828921e+00
-1.123519792264805316e-03,3.366306668425467653e-03,-5.997782455158179538e+00
-1.127044344410329689e-03,3.365147074878858079e-03,-5.997782443990372414e+00
-1.130567680217450365e-03,3.363983791127467433e-03,-5.997782432826416432e+00
-1.134089795822590787e-03,3.362816818447237309e-03,-5.997782421666327579e+00
-1.137610687363511215e-03,3.361646158118157708e-03,-5.997782410510116513e+00
-1.141130350979316106e-03,3.360471811424258371e-03,-5.997782399357793892e+00
-1.144648782810455409e-03,3.359293779653611811e-03,-5.997782388209373927e+00
-1.148165978998733029e-03,3.358112064098333748e-03,-5.997782377064868164e+00
-1.151681935687305950e-03,3.356926666054576170e-03,-5.997782365924289039e+00
-1.155196649020691834e-03,3.355737586822530368e-03,-5.997782354787648096e+00
-1.158710115144772701e-03,3.354544827706422601e-03,-5.997782343654959547e+00
-1.162222330206798835e-03,3.353348390014517996e-03,-5.997782332526232274e+00
-1.165733290355392250e-03,3.352148275059110578e-03,-5.997782321401481376e+00
-1.169242991740552335e-03,3.350944484156530203e-03,-5.997782310280718399e+00
-1.172751430513659533e-03,3.349737018627135625e-03,-5.997782299163955777e+00
-1.176258602827478378e-03,3.348525879795313624e-03,-5.997782288051205057e+00
-1.179764504836164005e-03,3.347311068989482045e-03,-5.997782276942477786e+00
-1.183269132695264746e-03,3.346092587542083292e-03,-5.997782265837788174e+00
-1.186772482561726039e-03,3.344870436789584758e-03,-5.997782254737145990e+00
-1.190274550593896493e-03,3.343644618072476229e-03,-5.997782243640564559e+00
-1.193775332951529846e-03,3.342415132735271181e-03,-5.997782232548055426e+00
-1.197274825795790597e-03,3.341181982126503313e-03,-5.997782221459633689e+00
-1.200773025289258783e-03,3.339945167598723941e-03,-5.997782210375308232e+00
