gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-7.746556969467082061e-04,3.461460682016362627e-03,-8.997781871298238698e+00
-7.800919797991693249e-04,3.460267780519139715e-03,-8.997782023080370450e+00
-7.855263820380839349e-04,3.459066341277865567e-03,-8.997782157968275740e+00
-7.909588902447514235e-04,3.457856367259736982e-03,-8.997782277652015992e+00
-7.963894910061809123e-04,3.456637861452838134e-03,-8.997782383652646487e+00
-8.018181709150188317e-04,3.455410826866154878e-03,-8.997782477339129059e+00
-8.072449165694914591e-04,3.454175266529581692e-03,-8.997782559943527048e+00
-8.126697145733527677e-04,3.452931183493919507e-03,-8.997782632574701012e+00
-8.180925515358409509e-04,3.451678580830885683e-03,-8.997782696230636645e+00
-8.235134140716468716e-04,3.450417461633117477e-03,-8.997782751809520363e+00
-8.289322888008821867e-04,3.449147829014166840e-03,-8.997782800119722424e+00
-8.343491623490609157e-04,3.447869686108510391e-03,-8.997782841888787075e+00
-8.397640213470805755e-04,3.446583036071542479e-03,-8.997782877771500765e+00
-8.451768524312109048e-04,3.445287882079575183e-03,-8.997782908357178755e+00
-8.505876422430885516e-04,3.443984227329843079e-03,-8.997782934176211000e+00
-8.559963774297119771e-04,3.442672075040492403e-03,-8.997782955705954322e+00
-8.614030446434440581e-04,3.441351428450582783e-03,-8.997782973376022397e+00
-8.668076305420131713e-04,3.440022290820088108e-03,-8.997782987573083702e+00
-8.722101217885230590e-04,3.438684665429883516e-03,-8.997782998645142527e+00
-8.776105050514592266e-04,3.437338555581747127e-03,-8.997783006905400782e+00
-8.830087670047019523e-04,3.435983964598355710e-03,-8.997783012635752087e+00
-8.884048943275415751e-04,3.434620895823281648e-03,-8.997783016089897501e+00
-8.937988737046907457e-04,3.433249352620979487e-03,-8.997783017496178815e+00
-8.991906918263052433e-04,3.431869338376787246e-03,-8.997783017060102750e+00
-9.045803353879991546e-04,3.430480856496919903e-03,-8.997783014966632464e+00
-9.099677910908701359e-04,3.429083910408461597e-03,-8.997783011382235685e+00
-9.153530456415154585e-04,3.427678503559358682e-03,-8.997783006456746335e+00
-9.207360857520590063e-04,3.426264639418415397e-03,-8.997783000325007663e+00
-9.261168981401726339e-04,3.424842321475283450e-03,-8.997782993108387473e+00
-9.314954695291025131e-04,3.423411553240460724e-03,-8.997782984916126381e+00
-9.368717866476922260e-04,3.421972338245278262e-03,-8.997782975846535081e+00
-9.422458362304100875e-04,3.420524680041892897e-03,-8.997782965988102788e+00
-9.476176050173760329e-04,3.419068582203284648e-03,-8.997782955420477791e+00
-9.529870797543886149e-04,3.417604048323243712e-03,-8.997782944215341416e+00
-9.583542471929543853e-04,3.416131082016366557e-03,-8.997782932437210945e+00
-9.637190940903128319e-04,3.414649686918044651e-03,-8.997782920144162588e+00
-9.690816072094680369e-04,3.413159866684456218e-03,-8.997782907388460316e+00
-9.744417733192167579e-04,3.411661624992562772e-03,-8.997782894217154492e+00
-9.797995791941780264e-04,3.410154965540093935e-03,-8.997782880672589911e+00
-9.851550116148233976e-04,3.408639892045542234e-03,-8.997782866792878309e+00
-9.905080573675058980e-04,3.407116408248157032e-03,-8.997782852612333571e+00
-9.958587032444920096e-04,3.405584517907928477e-03,-8.997782838161832331e+00
-1.001206936043989425e-03,3.404044224805587941e-03,-8.997782823469174573e+00
-1.006552742570181310e-03,3.402495532742590666e-03,-8.997782808559380285e+00
-1.011896109633254708e-03,3.400938445541113603e-03,-8.997782793454973671e+00
-1.017237024049431112e-03,3.399372967044039361e-03,-8.997782778176230067e+00
-1.022575472640999432e-03,3.397799101114952307e-03,-8.997782762741403317e+00
-1.027911442236348078e-03,3.396216851638126852e-03,-8.997782747166922945e+00
-1.033244919669991640e-03,3.394626222518521384e-03,-8.997782731467580675e+00
-1.038575891782608394e-03,3.393027217681764823e-03,-8.997782715656693853e+00
-1.043904345421067413e-03,3.391419841074146645e-03,-8.997782699746252888e+00
-1.049230267438463473e-03,3.389804096662611677e-03,-8.997782683747054477e+00
-1.054553644694145248e-03,3.388179988434748824e-03,-8.997782667668809964e+00
-1.059874464053749783e-03,3.386547520398777190e-03,-8.997782651520282116e+00
-1.065192712389233720e-03,3.384906696583542610e-03,-8.997782635309343746e+00
-1.070508376578904308e-03,3.383257521038504634e-03,-8.997782619043093177e+00
-1.075821443507452360e-03,3.381599997833725259e-03,-8.997782602727919965e+00
-1.081131900065983482e-03,3.379934131059863719e-03,-8.997782586369584834e+00
-1.086439733152050162e-03,3.378259924828158709e-03,-8.997782569973271194e+00
-1.091744929669684729e-03,3.376577383270429247e-03,-8.997782553543645534e+00
-1.097047476529429931e-03,3.374886510539053426e-03,-8.997782537084916044e+00
-1.102347360648371676e-03,3.373187310806964948e-03,-8.997782520600878797e+00
-1.107644568950169823e-03,3.371479788267638805e-03,-8.997782504094946177e+00
-1.112939088365093093e-03,3.369763947135086951e-03,-8.997782487570196608e+00
-1.118230905830047911e-03,3.368039791643843549e-03,-8.997782471029399431e+00
-1.123520008288612449e-03,3.366307326048951967e-03,-8.997782454475066416e+00
-1.128806382691067848e-03,3.364566554625960434e-03,-8.997782437909444653e+00
-1.134090015994430748e-03,3.362817481670908170e-03,-8.997782421334571623e+00
-1.139370895162484078e-03,3.361060111500313238e-03,-8.997782404752280527e+00
-1.144649007165812185e-03,3.359294448451169510e-03,-8.997782388164228706e+00
-1.149924338981828153e-03,3.357520496880923248e-03,-8.997782371571908300e+00
-1.155196877594810018e-03,3.355738261167475704e-03,-8.997782354976667563e+00
-1.160466609995930475e-03,3.353947745709160572e-03,-8.997782338379725076e+00
-1.165733523183290271e-03,3.352148954924744420e-03,-8.997782321782182180e+00
-1.170997604161950730e-03,3.350341893253407175e-03,-8.997782305185030083e+00
-1.176258839943960643e-03,3.348526565154732581e-03,-8.997782288589169397e+00
-1.181517217548396382e-03,3.346702975108701694e-03,-8.997782271995411918e+00
-1.186772724001387488e-03,3.344871127615677269e-03,-8.997782255404496610e+00
-1.192025346336151367e-03,3.343031027196396825e-03,-8.997782238817086053e+00
