ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.200011583169713703e+01,1.200003552957545594e+02,-5.731347020009697546e-15,-3.033447661154585084e+00,2.607334901203866462e+00,4.898587196589412829e-16
3.200011307408262695e+01,1.200003580246155650e+02,-5.780332891975592552e-15,-3.087386278231841974e+00,2.543235334959338179e+00,4.898587196589412829e-16
3.200011026837300676e+01,1.200003606851075233e+02,-5.829318763941487558e-15,-3.139970665648395443e+00,2.478020221642182719e+00,4.898587196589412829e-16
3.200010741579894358e+01,1.200003632760634673e+02,-5.878304635907382564e-15,-3.191177758153995292e+00,2.411718166756481097e+00,4.898587196589412829e-16
3.200010451761167474e+01,1.200003657963469124e+02,-5.927290507873277569e-15,-3.240985094625457474e+00,2.344358252574809676e+00,4.898587196589412829e-16
3.200010157508243225e+01,1.200003682448523818e+02,-5.976276379839172575e-15,-3.289370827918858264e+00,2.275970025381794049e+00,4.898587196589412829e-16
3.200009858950191699e+01,1.200003706205058904e+02,-6.025262251805067581e-15,-3.336313734452411861e+00,2.206583482514133721e+00,4.898587196589412829e-16
3.200009556217970186e+01,1.200003729222653988e+02,-6.074248123770962587e-15,-3.381793223515834779e+00,2.136229059202776615e+00,4.898587196589412829e-16
3.200009249444366333e+01,1.200003751491212682e+02,-6.123233995736857593e-15,-3.425789346302112737e+00,2.064937615223022771e+00,4.898587196589412829e-16
3.200008938763942012e+01,1.200003773000967584e+02,-6.172219867702752599e-15,-3.468282804657706109e+00,1.992740421358405900e+00,4.898587196589412829e-16
3.200008624312971506e+01,1.200003793742483538e+02,-6.221205739668647605e-15,-3.509254959547358332e+00,1.919669145684294698e+00,4.898587196589412829e-16
3.200008306229383237e+01,1.200003813706662896e+02,-6.270191611634542611e-15,-3.548687839229792029e+00,1.845755839677227783e+00,4.898587196589412829e-16
3.200007984652699378e+01,1.200003832884748647e+02,-6.319177483600437617e-15,-3.586564147140710368e+00,1.771032924156077826e+00,4.898587196589412829e-16
3.200007659723974029e+01,1.200003851268328674e+02,-6.368163355566332623e-15,-3.622867269479639774e+00,1.695533175061207487e+00,4.898587196589412829e-16
3.200007331585732118e+01,1.200003868849339597e+02,-6.417149227532227628e-15,-3.657581282497292641e+00,1.619289709077860184e+00,4.898587196589412829e-16
3.200007000381904732e+01,1.200003885620069610e+02,-6.466135099498122634e-15,-3.690690959480250388e+00,1.542335969110085969e+00,4.898587196589412829e-16
3.200006666257770149e+01,1.200003901573162750e+02,-6.515120971464017640e-15,-3.722181777429903970e+00,1.464705709611579865e+00,4.898587196589412829e-16
3.200006329359885626e+01,1.200003916701621449e+02,-6.564106843429912646e-15,-3.752039923432718638e+00,1.386432981779861739e+00,4.898587196589412829e-16
3.200005989836025577e+01,1.200003930998809665e+02,-6.613092715395807652e-15,-3.780252300719037173e+00,1.307552118620296522e+00,4.898587196589412829e-16
3.200005647835117628e+01,1.200003944458456715e+02,-6.662078587361702658e-15,-3.806806534407753517e+00,1.228097719886503070e+00,4.898587196589412829e-16
3.200005303507172272e+01,1.200003957074658416e+02,-6.711064459327597664e-15,-3.831690976934346793e+00,1.148104636903758191e+00,4.898587196589412829e-16
3.200004957003225314e+01,1.200003968841881061e+02,-6.760050331293492670e-15,-3.854894713159886077e+00,1.067607957282054487e+00,4.898587196589412829e-16
3.200004608475263268e+01,1.200003979754963268e+02,-6.809036203259387676e-15,-3.876407565158771718e+00,9.866429895255138804e-01,4.898587196589412829e-16
3.200004258076163666e+01,1.200003989809118536e+02,-6.858022075225282681e-15,-3.896220096683110867e+00,9.052452475449117575e-01,4.898587196589412829e-16
3.200003905959621164e+01,1.200003998999936101e+02,-6.907007947191177687e-15,-3.914323617301767033e+00,8.234504350801012951e-01,4.898587196589412829e-16
3.200003552280087860e+01,1.200004007323385338e+02,-6.955993819157072693e-15,-3.930710186212269974e+00,7.412944300391733909e-01,4.898587196589412829e-16
3.200003197192697257e+01,1.200004014775815335e+02,-7.004979691122967699e-15,-3.945372615723913512e+00,6.588132687612203719e-01,4.898587196589412829e-16
3.200002840853203878e+01,1.200004021353956745e+02,-7.053965563088862705e-15,-3.958304474410516693e+00,5.760431302096066242e-01,4.898587196589412829e-16
3.200002483417908650e+01,1.200004027054924478e+02,-7.102951435054757711e-15,-3.969500089931457865e+00,4.930203201026794324e-01,4.898587196589412829e-16
3.200002125043596379e+01,1.200004031876218420e+02,-7.151937307020645617e-15,-3.978954551519750193e+00,4.097812549888813494e-01,4.898587196589412829e-16
3.200001765887460436e+01,1.200004035815723142e+02,-7.200923178986532734e-15,-3.986663712136068849e+00,3.263624462732480080e-01,4.898587196589412829e-16
3.200001406107038804e+01,1.200004038871711316e+02,-7.249909050952419852e-15,-3.992624190287777264e+00,2.428004842022995768e-01,4.898587196589412829e-16
3.200001045860143023e+01,1.200004041042842147e+02,-7.298894922918306969e-15,-3.996833371512162003e+00,1.591320218143489895e-01,4.898587196589412829e-16
