ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.200012860517459501e+01,1.200000284305881451e+02,-1.787984326755158643e-15,1.859167217760523405e+00,7.372226640605904491e-01,2.449293598294706414e-16
3.200013028023666095e+01,1.200000292154084605e+02,-1.812477262738106146e-15,1.855281661551586359e+00,7.469470907034746476e-01,2.449293598294706414e-16
3.200013195177400149e+01,1.200000300105102440e+02,-1.836970198721053649e-15,1.851345241858709079e+00,7.566510394145494756e-01,2.449293598294706414e-16
3.200013361974079373e+01,1.200000308158716393e+02,-1.861463134704001152e-15,1.847358066600825577e+00,7.663342441551592721e-01,2.449293598294706414e-16
3.200013528409130714e+01,1.200000316314706197e+02,-1.885956070686948655e-15,1.843320245088360121e+00,7.759964394553545697e-01,2.449293598294706414e-16
3.200013694477991066e+01,1.200000324572848314e+02,-1.910449006669896158e-15,1.839231888020228967e+00,7.856373604211703832e-01,2.449293598294706414e-16
3.200013860176108693e+01,1.200000332932915654e+02,-1.934941942652843661e-15,1.835093107480806340e+00,7.952567427418882895e-01,2.449293598294706414e-16
3.200014025498938963e+01,1.200000341394679850e+02,-1.959434878635791164e-15,1.830904016936851342e+00,8.048543226972828535e-01,2.449293598294706414e-16
3.200014190441951456e+01,1.200000349957908270e+02,-1.983927814618738667e-15,1.826664731234397543e+00,8.144298371648514001e-01,2.449293598294706414e-16
3.200014355000622146e+01,1.200000358622366718e+02,-2.008420750601686170e-15,1.822375366595603730e+00,8.239830236270277997e-01,2.449293598294706414e-16
3.200014519170441929e+01,1.200000367387817448e+02,-2.032913686584633673e-15,1.818036040615568227e+00,8.335136201783793775e-01,2.449293598294706414e-16
3.200014682946908096e+01,1.200000376254019727e+02,-2.057406622567581176e-15,1.813646872259105036e+00,8.430213655327873923e-01,2.449293598294706414e-16
3.200014846325530726e+01,1.200000385220730976e+02,-2.081899558550528679e-15,1.809207981857481551e+00,8.525059990306100843e-01,2.449293598294706414e-16
3.200015009301832691e+01,1.200000394287705490e+02,-2.106392494533476182e-15,1.804719491105120532e+00,8.619672606458289588e-01,2.449293598294706414e-16
3.200015171871343256e+01,1.200000403454694293e+02,-2.130885430516423685e-15,1.800181523056263444e+00,8.714048909931776388e-01,2.449293598294706414e-16
3.200015334029608027e+01,1.200000412721446139e+02,-2.155378366499371187e-15,1.795594202121596483e+00,8.808186313352526220e-01,2.449293598294706414e-16
3.200015495772178298e+01,1.200000422087707221e+02,-2.179871302482318690e-15,1.790957654064840199e+00,8.902082235896071616e-01,2.449293598294706414e-16
3.200015657094623123e+01,1.200000431553220608e+02,-2.204364238465266193e-15,1.786272005999302026e+00,8.995734103358266065e-01,2.449293598294706414e-16
3.200015817992517952e+01,1.200000441117726666e+02,-2.228857174448213696e-15,1.781537386384390409e+00,9.089139348225853121e-01,2.449293598294706414e-16
3.200015978461451027e+01,1.200000450780963490e+02,-2.253350110431161199e-15,1.776753925022094061e+00,9.182295409746863424e-01,2.449293598294706414e-16
3.200016138497024798e+01,1.200000460542665621e+02,-2.277843046414108702e-15,1.771921753053422144e+00,9.275199734000810770e-01,2.449293598294706414e-16
3.200016298094850953e+01,1.200000470402566322e+02,-2.302335982397056205e-15,1.767041002954810480e+00,9.367849773968717209e-01,2.449293598294706414e-16
3.200016457250553970e+01,1.200000480360394590e+02,-2.326828918380003708e-15,1.762111808534488233e+00,9.460242989602934971e-01,2.449293598294706414e-16
3.200016615959771116e+01,1.200000490415877437e+02,-2.351321854362951211e-15,1.757134304928810842e+00,9.552376847896784096e-01,2.449293598294706414e-16
3.200016774218149607e+01,1.200000500568739454e+02,-2.375814790345898714e-15,1.752108628598553430e+00,9.644248822954000211e-01,2.449293598294706414e-16
3.200016932021353000e+01,1.200000510818702111e+02,-2.400307726328846217e-15,1.747034917325171799e+00,9.735856396057976925e-01,2.449293598294706414e-16
