ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
-4.181112739330259840e-04,9.999999999999982236e-01,9.794837459278500802e+00
-4.188841285763846294e-04,9.999999999999982236e-01,9.794837442628500312e+00
-4.196569832513772041e-04,9.999999999999982236e-01,9.794837425947749310e+00
-4.204298379580621468e-04,9.999999999999982236e-01,9.794837409236254899e+00
-4.212026926964978959e-04,9.999999999999982236e-01,9.794837392494009976e+00
-4.219755474667428357e-04,9.999999999999982236e-01,9.794837375721018091e+00
-4.227484022688553504e-04,9.999999999999982236e-01,9.794837358917279246e+00
-4.235212571028938787e-04,9.999999999999982236e-01,9.794837342082793441e+00
-4.242941119689168047e-04,9.999999999999982236e-01,9.794837325217562451e+00
-4.250669668669824586e-04,9.999999999999982236e-01,9.794837308321580949e+00
-4.258398217971493330e-04,9.999999999999982236e-01,9.794837291394854262e+00
-4.266126767594758122e-04,9.999999999999982236e-01,9.794837274437378838e+00
-4.273855317540203348e-04,9.999999999999982236e-01,9.794837257449158230e+00
-4.281583867808410682e-04,9.999999999999982236e-01,9.794837240430187109e+00
-4.289312418399967219e-04,9.999999999999982236e-01,9.794837223380470803e+00
-4.297040969315455718e-04,9.999999999999982236e-01,9.794837206300007537e+00
-4.304769520555459480e-04,9.999999999999982236e-01,9.794837189188797311e+00
-4.312498072120563432e-04,9.999999999999982236e-01,9.794837172046840124e+00
-4.320226624011352500e-04,9.999999999999982236e-01,9.794837154874134200e+00
-4.327955176228407818e-04,9.999999999999982236e-01,9.794837137670681315e+00
-4.335683728772316481e-04,9.999999999999982236e-01,9.794837120436481470e+00
-4.343412281643660162e-04,9.999999999999982236e-01,9.794837103171532888e+00
